4.0,[-0.00018189894035458562,-0.9570759592255247,-0.03689111830832796,0.14101620611957816,1.5930766039673472]
139.0,[-4.5474735088646405e-5,0.0,2.4016344468691386e-5,0.05427220154767079,0.0]
140.0,[-0.0002501110429875552,0.0,-3.446132268436486e-6,-0.0030505968121966962,0.0]
141.0,[-0.00024158453015843404,0.0,-6.276460832547552e-7,-0.0005551707242072249,0.0]
142.0,[5.305385760342081e-5,0.0,9.426533627750663e-6,0.08286633601528591,0.0]
143.0,[-0.00014684549872375402,0.0,1.9682033780554775e-5,0.02576712176960427,0.0]
144.0,[-0.0001335820343228988,0.0,2.1375493967449682e-5,0.029540577391647574,0.0]
145.0,[5.873819948950161e-5,0.0,7.673861546209082e-6,0.08426373672894745,0.0]
146.0,[5.873819948950161e-5,0.0,6.596205063639597e-6,0.08452805862665021,0.0]
147.0,[6.726471231862281e-5,0.0,4.026408835973902e-6,0.08705569598532746,0.0]
148.0,[-3.12638803734444e-5,0.0,2.177813485104707e-5,0.058484298885256664,0.0]
149.0,[6.915949294731641e-5,0.0,4.310625930277942e-6,0.08716654065210604,0.0]
150.0,[0.00015537201155287522,0.0,-2.9286203092245465e-5,0.11429979925499839,0.0]
151.0,[7.010688326166321e-5,0.0,3.375077994860476e-6,0.0872669640254268,0.0]
194.0,[-2.7474319116057203e-5,0.0,2.120970066243899e-5,0.05988643655048993,0.0]
195.0,[-0.00033348139065007365,0.0,-3.905616570894684e-5,-0.027438318284112025,0.0]
196.0,[-0.00023968974952974043,0.0,-3.315866100213801e-7,-0.0002927436071331612,0.0]
197.0,[0.00030221751027662924,0.0,-0.000132385954051036,0.16608036427593711,0.0]
198.0,[0.00023305801732931283,0.0,-7.617018127348274e-5,0.1398205995428725,0.0]
199.0,[7.958078640513121e-5,0.0,-1.1131836193574904e-6,0.09098452361892365,0.0]
200.0,[0.00025105843330190203,0.0,-8.877047245429519e-5,0.1461141134010783,0.0]
201.0,[0.00024537409141582123,0.0,-8.514670450191868e-5,0.14398343258411234,0.0]
202.0,[0.00017053025658242402,0.0,-3.750481406920396e-5,0.11845505317372346,0.0]
